year,fshare_speech,fshare_mps,fshare_speakers,ushare_speech,ushare_mps,ushare_speakers,yshare_speech,yshare_mps,yshare_speakers,hshare_speech,hshare_mps,hshare_speakers,wshare_speech,wshare_mps,wshare_speakers,ftshare_speech,ftshare_mps,ftshare_speakers
1907,0.066,0.095,0.109,0.169,0.115,0.095,0.39,0.46,0.445,0.706,0.548,0.57,0.839,0.658,0.715,1.0,1.0,1.0
1908,0.059,0.107,0.119,0.203,0.119,0.093,0.367,0.444,0.464,0.714,0.525,0.546,0.868,0.689,0.775,1.0,1.0,1.0
1909,0.076,0.109,0.073,0.153,0.116,0.073,0.431,0.455,0.513,0.607,0.518,0.508,0.823,0.735,0.74,1.0,1.0,1.0
1910,0.049,0.085,0.067,0.181,0.114,0.089,0.415,0.443,0.489,0.587,0.478,0.509,0.862,0.744,0.778,1.0,1.0,1.0
1911,0.04,0.07,0.045,0.21,0.115,0.091,0.398,0.41,0.447,0.616,0.49,0.491,0.871,0.697,0.75,1.0,1.0,1.0
1912,0.046,0.07,0.045,0.171,0.115,0.068,0.399,0.37,0.439,0.578,0.49,0.515,0.812,0.702,0.71,1.0,1.0,1.0
1913,0.052,0.07,0.06,0.169,0.115,0.082,0.319,0.325,0.388,0.642,0.49,0.495,0.837,0.702,0.722,1.0,1.0,1.0
1914,0.068,0.105,0.099,0.196,0.115,0.099,0.37,0.385,0.412,0.533,0.441,0.455,0.835,0.702,0.729,1.0,1.0,1.0
1917,0.058,0.101,0.102,0.195,0.129,0.117,0.279,0.337,0.33,0.622,0.459,0.488,0.877,0.712,0.75,1.0,1.0,1.0
1918,0.03,0.076,0.077,0.191,0.144,0.128,0.246,0.219,0.197,0.649,0.55,0.636,0.895,0.798,0.855,1.0,1.0,1.0
1919,0.048,0.085,0.087,0.214,0.118,0.133,0.317,0.414,0.383,0.667,0.426,0.504,0.906,0.701,0.781,1.0,1.0,1.0
1920,0.044,0.091,0.102,0.227,0.12,0.146,0.322,0.39,0.374,0.608,0.439,0.515,0.902,0.704,0.767,1.0,1.0,1.0
1921,0.077,0.094,0.086,0.251,0.123,0.138,0.277,0.358,0.36,0.611,0.424,0.492,0.893,0.697,0.776,1.0,1.0,1.0
1922,0.057,0.107,0.079,0.221,0.131,0.113,0.324,0.364,0.397,0.525,0.393,0.444,0.825,0.716,0.74,1.0,1.0,1.0
1923,0.056,0.099,0.077,0.211,0.129,0.129,0.248,0.34,0.37,0.554,0.391,0.457,0.868,0.707,0.75,1.0,1.0,1.0
1924,0.052,0.084,0.082,0.205,0.123,0.135,0.377,0.312,0.335,0.515,0.393,0.437,0.84,0.729,0.738,1.0,1.0,1.0
1925,0.057,0.09,0.093,0.219,0.125,0.123,0.294,0.255,0.265,0.555,0.407,0.451,0.843,0.741,0.762,1.0,1.0,1.0
1926,0.048,0.089,0.077,0.191,0.128,0.124,0.214,0.179,0.19,0.478,0.409,0.439,0.805,0.737,0.75,1.0,1.0,1.0
1927,0.055,0.083,0.084,0.175,0.127,0.136,0.275,0.257,0.275,0.488,0.389,0.437,0.787,0.73,0.743,1.0,1.0,1.0
1928,0.063,0.077,0.071,0.186,0.116,0.123,0.2,0.213,0.227,0.495,0.385,0.426,0.786,0.72,0.745,1.0,1.0,1.0
1929,0.047,0.073,0.086,0.187,0.123,0.117,0.169,0.201,0.21,0.529,0.401,0.434,0.749,0.7,0.714,1.0,1.0,1.0
1930,0.051,0.067,0.05,0.19,0.124,0.119,0.13,0.19,0.16,0.536,0.397,0.436,0.879,0.736,0.801,1.0,1.0,1.0
1931,0.047,0.054,0.06,0.162,0.113,0.119,0.107,0.124,0.113,0.584,0.398,0.449,0.868,0.801,0.826,1.0,1.0,1.0
